file,mode,csv_p50,csv_p75,csv_verdict,p50,p75,p90,n_components
dinamina_20260728_p70_full,full,16.0,19.0,MARGINAL,15.0,18.0,27.0,4640
dinamina_20260728_p71_full,full,18.0,19.0,MARGINAL,18.0,20.0,23.0,6395
dinamina_20260728_p72_full,full,16.0,19.0,MARGINAL,15.0,19.0,23.0,7560
dinamina_20260728_p73_full,full,17.0,20.0,MARGINAL,17.0,20.0,32.0,5838
dinamina_20260728_p74_full,full,16.0,20.0,MARGINAL,17.0,20.0,24.0,4326
dinamina_20260728_p75_full,full,14.0,19.0,MARGINAL,17.0,21.0,34.0,2773
dinamina_20260728_p76_full,full,15.0,19.0,MARGINAL,16.0,19.0,23.0,5426
dinamina_20260728_p77_full,full,15.0,20.0,MARGINAL,18.0,21.0,35.0,3490
dinamina_20260728_p78_full,full,16.0,20.0,MARGINAL,17.0,20.0,24.0,4657
dinamina_20260728_p79_full,full,16.0,20.0,MARGINAL,16.0,20.0,27.0,4094
dinamina_20260728_p80_full,full,17.0,20.0,MARGINAL,17.0,19.0,23.0,4845
dinamina_20260728_p81_full,full,16.0,20.0,MARGINAL,17.0,20.0,25.0,5392
dinamina_20260728_p82_full,full,17.0,20.0,MARGINAL,17.0,20.0,24.0,5346
dinamina_20260728_p83_full,full,15.0,20.0,MARGINAL,18.0,21.0,37.0,3405
dinamina_20260728_p84_full,full,16.0,19.0,MARGINAL,16.0,19.0,23.0,4139
lankadeepa_20260728_p01_full,full,13.0,24.0,MARGINAL,11.0,20.0,36.0,1849
lankadeepa_20260728_p02_full,full,14.0,18.0,MARGINAL,14.0,17.0,23.0,3813
lankadeepa_20260728_p03_full,full,16.0,18.0,MARGINAL,15.0,18.0,22.0,5245
lankadeepa_20260728_p04_full,full,17.0,19.0,MARGINAL,16.0,19.0,23.0,6814
lankadeepa_20260728_p05_full,full,17.0,19.0,MARGINAL,16.0,18.0,21.0,7102
lankadeepa_20260728_p06_full,full,16.0,19.0,MARGINAL,15.0,18.0,22.0,4064
lankadeepa_20260728_p07_full,full,17.0,20.0,MARGINAL,17.0,19.0,23.0,5770
lankadeepa_20260728_p08_full,full,15.0,20.0,MARGINAL,16.0,20.0,27.0,3330
lankadeepa_20260728_p09_full,full,16.0,19.0,MARGINAL,16.0,18.0,22.0,7531
